SBI ,Airtel,Aarti Industries
506.74176,708.699951,979.159485
520.822021,704.120361,970.183716
515.406494,712.632507,989.082764
530.02832,726.072754,984.24585
524.120483,719.850403,1010.076111
531.505249,721.841553,1007.832153
531.800659,718.456665,991.476318
522.151245,717.013062,1000.20282
525.055908,703.373657,997.16095
523.185059,705.763062,976.66626
527.025208,716.166748,1007.034363
532.243713,720.846008,1019.450867
521.461975,711.985413,984.993835
493.695313,686.64801,961.008423
516.735718,708.401306,982.92218
508.760223,718.605957,982.323181
505.067871,713.827209,973.238159
507.381714,709.396851,956.36615
503.984772,706.808411,933.753601
490.741425,696.155762,917.780029
491.036835,701.282959,915.384033
465.387115,667.931213,864.418396
475.528839,685.602661,931.806824
475.774994,683.462158,924.618774
466.962524,671.266357,901.956299
460.217773,669.076111,879.543396
454.851532,650.807312,828.178406
433.53421,672.411316,803.519287
433.53421,679.977661,816.048584
444.759033,688.440063,828.57782
461.497833,694.662354,826.630981
463.122467,691.775208,843.802551
477.695038,697.300659,869.160522
478.384277,699.988708,857.979126
485.178253,708.849304,858.028992
494.187653,719.701111,890.125854
483.061279,705.066162,909.843201
486.113647,716.067261,906.848145
483.110504,701.830505,911.041199
479.615082,703.224304,917.879883
483.15976,706.210999,921.623718
489.855255,729.806152,906.049438
487.393677,751.609253,920.825012
486.704407,746.183411,940.392639
485.965942,751.609253,955.068298
500.390839,755.143555,954.818726
504.526337,764.402405,970.74231
501.572388,763.207703,985.41803
506.05249,772.217712,971.990234
507.03714,759.026306,961.457703
508.169434,758.7276,968.046814
506.987915,754.695557,958.063354
504.96936,738.368164,954.668945
509.744873,737.372559,951.22467
501.670868,726.271912,937.896729
503.935516,720.298462,937.647156
501.473938,736.078247,939.094788
508.366364,732.494202,939.244507
492.907623,735.480957,920.725159
487.147522,736.078247,884.884521
497.73233,752.953308,894.169189
489.6091,749.170105,874.851135
499.701599,744.042847,883.936157
488.673676,735.729858,886.481873
483.455139,738.069397,846.248535
472.279541,719.203308,834.667664
472.624176,715.768555,828.328186
476.513489,707.107056,792.138123
468.587158,708.351563,778.610535
467.897949,716.465515,767.728577
469.227173,719.651306,744.966248
455.540771,702.278564,739.475342
437.817352,686.847168,750.706787
448.008331,690.132507,757.146118
460.119324,703.921204,771.472351
450.962219,693.069458,784.201294
440.623566,671.266357,743.76825
455.294617,684.856018,765.781738
453.817657,682.815002,762.68689
454.949982,675.198914,756.047913
454.100006,685.154663,740.124268
468.899994,690.580566,748.759949
468.950012,681.37146,764.633728
474.600006,695.956604,809.808899
468.100006,697.101563,759.492188
468.299988,691.576111,748.560303
469.850006,692.870361,738.676697
464.5,683.462158,719.308716
463.700012,679.927856,712.819519
463.399994,682.267456,703.235413
471.299988,660.364807,698.143799
466.950012,673.357056,708.676331
461.850006,670.3703,712.120667
445.850006,668.329407,700.639648
448.100006,679.03186,707.478333
451.350006,679.081604,712.52002
441.600006,651.305115,690.706116
441,640.801819,687.661133
434.700012,638.063965,687.261841
450.75,651.404663,700.090576
447.649994,640.00531,689.60791
451.399994,657.278564,702.586426
454.25,668.229858,711.272095
461.200012,680.923462,722.753052
464.25,678.135864,714.017517
459.100006,684.756409,701.388428
465.899994,681.919006,697.5448
466.850006,670.46991,702.08728
473.450012,678.882568,698.343445
472.149994,681.421265,683.518066
479.950012,690.879211,700.539856
486.75,683.760803,703.584778
488.549988,692.073914,721.7547
488.200012,657.626953,742.969543
484.950012,660.066162,727.644897
486.5,640.652466,733.185791
479.350006,638.810669,725.049255
479.100006,648.91571,727.195679
490.299988,660.115906,734.383728
497.950012,669.922363,734.333862
508.600006,667.682312,737.977844
512.049988,675.348206,776.214478
